,fullTitle,subjects,holdings
4550,Foundations of evolutionary psychology / edited by Charles Crawford and Dennis Krebs.,Evolutionary psychology,BF 698.95 .F68 2008
4551,A comparative analysis of human suffering exploring the implications of a relational alternative / by Jonathan Gibson.,Suffering -- Psychological aspects,None
4552,The Memoirs of Margaret S. Mahler / compiled and edited by Paul E. Stepansky.,"Mahler, Margaret S, Psychoanalysts -- Biography, Infant psychology, Child analysis",BF 719 .M34 1988
4553,"The Undaunted psychologist : adventures in research / edited by Gary G. Brannigan, Matthew R. Merrens.",Psychology -- Research -- Case studies,BF 76.5 .U45 1993
4554,The memory trace : its formation and its fate / Erich Goldmeier.,Memory,BF 371 .G64 1982
4555,Are men animals? : how modern masculinity sells men short / Matthew Gutmann.,"Masculinity, Sex role, Men -- Identity",BF 692.5 .G88 2019
4556,"Lessons learned : practical advice for the teaching of psychology / edited by Baron Perlman, Lee I. McCann, Susan H. McFadden.",Psychology -- Study and teaching (Higher),BF 77 .L47x 1999
4557,"Faces of death : grief, dying, euthanasia, suicide / by Brent Q. Hafen, Kathryn J. Frandsen ; with contributions from Molly J. Brog, Laura Lewis.","Death -- Psychological aspects, Bereavement -- Psychological aspects, Death -- Social aspects",BF 789 .D4 H34x 1983
4558,"The professional counselor as administrator : perspectives on leadership and management of counseling services across settings / Edwin L. Herr, Dennis E. Heitzmann, Jack R. Rayman.","Counseling -- Management, Educational counseling -- Administration",BF 637 .C6 H435 2006
4559,Encouraging the development of exceptional skills and talents / edited by Michael J.A. Howe.,"Gifted children, Talented students",BF 723 .G5 E52x 1990
4560,A study of corpus callosal morphology and neuropsychological function following traumatic brain injury / by Robert B. Burr.,"Brain -- Wounds and injuries, Neuropsychology, Morphology",None
4561,Scenario visualization : an evolutionary account of creative problem solving / Robert Arp.,"Visualization, Problem solving -- Methodology, Creative thinking",BF 241 .A77 2008
4562,"The power of your subconscious mind : the complete original edition, plus bonus material / Joseph Murphy.","Mental discipline, Subconsciousness",BF 145 .M8 2019
4563,"Security : sociology and social worlds / edited by Simon Carter, Tim Jordan, and Sophie Watson.","Security (Psychology), Internal security -- Sociological aspects",BF 575 .S35 S43 2008
4564,A story of her own : the female Oedipus complex reexamined and renamed / Nancy Kulish and Deanna Holtzman.,"Oedipus complex, Psychoanalysis, Women -- Psychology",BF 175.5 .O33 K85 2008
4565,"Workshops in perception / by R.P. Power, S. Hausfeld, and A. Gorta.",Perception,BF 311 .P68
4566,"Communicating emotion : social, moral, and cultural processes / Sally Planalp.","Expression, Emotions, Interpersonal communication, Emotions -- Social aspects",BF 591 .P57 1999
4567,Crying : the natural and cultural history of tears / Tom Lutz.,"Crying, Crying -- History",BF 575 .C88 L87 1999
4568,The woman who can't forget : the extraordinary story of living with the most remarkable memory known to science : a memoir / by Jill Price with Bart Davis.,"Price, Jill, 1965-, Long-term memory -- Biography, Memory disorders -- Patients -- California -- Biography",BF 378 .L65 P75 2009
4569,The Emergence of morality in young children / edited by Jerome Kagan and Sharon Lamb.,Moral development -- Congresses,BF 723 .M54 E48 1987
4570,"Practical ethics for psychologists : a positive approach / Samuel J. Knapp, Leon D. VandeCreek.","Psychologists -- Professional ethics, Psychology -- Standards",BF 76.4 .K64 2006
4571,"Sigmund Freud, Arnold Zweig : Briefwechsel / herausgegeben von Ernst L. Freud.","Freud, Sigmund, 1856-1939 -- Correspondence, Zweig, Arnold, 1887-1968 -- Correspondence, Psychoanalysts -- Austria -- Correspondence, Novelists, German -- 20th century -- Correspondence",BF 173 .F85 A445x 1984
4572,"Legacy of hate : a short history of ethnic, religious, and racial prejudice in America / Philip Perlmutter.","Hate -- United States, Prejudices -- United States, Racism -- United States, Discrimination -- Religious aspects -- United States, United States -- Race relations, United States -- Social conditions",BF 575 .H3 P47 1999
4573,"Handbook for clinical memory assessment of older adults / Leonard W. Poon, editor ; associate editors, Thomas Crook ... [et al.].","Memory disorders in old age -- Diagnosis, Neuropsychological tests, Alzheimer's disease -- Diagnosis",BF 378 .A33 H36 1986
4574,"Reading Freud : psychology, neurosis, and religion / Volney P. Gay.","Freud, Sigmund, 1856-1939, Psychoanalysis and religion, Religion -- Controversial literature -- History",BF 175 .G38 1983
4575,Beneath the mask : an introduction to theories of personality / Christopher F. Monte.,Personality -- Philosophy,BF 698 .M64
4576,"Persuasion, theory and context / Kathleen Kelley Reardon ; Gail Theus Fairhurst, contributing author, chapter 10.",Persuasion (Psychology),BF 637 .P4 R34
4577,Emotions and moods : medical & psychological subject analysis with bibliography / Lottie Finch Lydeen.,"Emotions -- Bibliography, Emotions -- Periodicals -- Indexes, Mood (Psychology) -- Bibliography, Mood (Psychology) -- Periodicals -- Indexes",BF 511.X1 L92 1987
4578,The reciprocity of perceiver and environment : the evolution of James J. Gibson's ecological psychology / Thomas J. Lombardo.,"Gibson, James J. (James Jerome), 1904-1979, Environmental psychology, Perception (Philosophy)",BF 353 .L55 1987
4579,Phenomenological explanations / Alphonso Lingis.,Phenomenological psychology,BF 204.5 .L58 1986
4580,"Behavioral sciences / Ronald S. Krug, Alvah R. Cass.","Psychology -- Outlines, syllabi, etc, Developmental psychology -- Outlines, syllabi, etc, Psychology, Pathological -- Outlines, syllabi, etc, Psychiatry -- Outlines, syllabi, etc, Medical care -- Outlines, syllabi, etc",BF 141 .K78 1989
4581,Human development and human possibility : Erikson in the light of Heidegger / Richard T. Knowles.,"Developmental psychology, Philosophical anthropology -- History -- 20th century, Erikson, Erik H. (Erik Homburger), 1902-1994, Heidegger, Martin, 1889-1976",BF 713 .K58 1986
4582,Jung's challenge to contemporary religion / edited by Murray Stein and Robert L. Moore ; [contributors] Murray Stein ... [et al.].,"Jung, C. G. (Carl Gustav), 1875-1961 -- Religion, Psychoanalysis and religion",BF 173 .J85 J9 1987
4583,"Facing apocalypse / David Miller ... [et al.] ; edited by Valerie Andrews, Robert Bosnak, Karen Walter Goodwin.",End of the world -- Miscellanea,BF 1999 .F22 1987
4584,"Computerized psychological assessment : a practitioner's guide / James N. Butcher, editor.","Psychological tests -- Data processing, Psychodiagnostics -- Data processing, Microcomputers",BF 176.2 .C66 1987
4585,How expectancies shape experience / edited by Irving Kirsch.,"Expectation (Psychology), Self-fulfilling prophecy, Medicine, Psychosomatic",BF 323 .E8 H69 1999
4586,"Child psychology in retrospect and prospect : in celebration of the 75th anniversary of the Institute of Child Development / edited by Willard W. Hartup, Richard A. Weinberg.","Child psychology -- Congresses, Child development -- Congresses",BF 721 .M545 vol.32
4587,Essays in experimental psychology / Harvie Ferguson ; foreword by Antonio Negri ; translated by Gianfranco Poggi.,"Psychology, Experimental",BF 181 .F47x 1983
4588,"A primer of Adlerian psychology : the analytic-behavioral-cognitive psychology of Alfred Adler / Harold H. Mosak, Michael P. Maniacci.","Adler, Alfred, 1870-1937, Adlerian psychology",BF 175.5 .A33 M68 1999
4589,The meaning of things : domestic symbols and the self / Mihaly Csikszentmihalyi and Eugene Rochberg-Halton.,"Symbolism (Psychology), Environmental psychology, House furnishings -- Psychological aspects, Dwellings -- Psychological aspects, Self, Families",BF 458 .C78
4590,Confrontation with the unconscious : Jungian depth psychology and psychedelic experience / Scott J. Hill.,"Jungian psychology, Parapsychology, Theosophy",BF 173 .J85 H52x 2013
4591,Egyptian magic / by Florence Farr ; introduction by Timothy d'Arch Smith.,"Magic, Egyptian, Gnosticism",BF 1591 .F37x 1982
4592,Cognitive psychology applied edited by Chizuko Izawa.,"Cognitive psychology -- Congresses, Cognition -- Congresses",BF 201 .C64 1993
4593,"Youth on religion : the development, negotiation and impact of faith and non-faith identity / Nicola Madge, Peter J. Hemming and Kevin Stenson ; with Nick Allum [and 5 others] ; foreword by Grace Davie.","Identity (Psychology) -- Great Britain, Youth -- Religious life -- Case studies, Identification (Religion) -- Case studies",BF 697 .M22773 2014
4594,The psychological study of object perception : examination of methodological problems and a critique of main research approaches / Arild Lian.,"Perception, Environmental psychology, Psychophysics",BF 311 .L48
4595,How and why children fail / edited by Ved Varma ; foreword by James Hemming.,"Failure (Psychology) in children, School failure, Underachievers",BF 723 .F27 H68 1993
4596,"Age, gender, and religious differences in moral perspective / by Samuel L. Clay II.","Caring -- Research, Judgment (Ethics) -- Research",None
4597,Advances in cognition and educational practice.,"Cognition -- Periodicals, Learning, Psychology of -- Periodicals",None
4598,Dreams and experience in classical antiquity / William V. Harris.,"Dreams -- Greece -- History -- To 1500, Dreams -- Rome",BF 1078 .H2955 2009
4599,The language of emotional intelligence : the five essential tools for building powerful and effective relationships / Jeanne Segal with Jaelline Jaffe.,"Emotional intelligence, Interpersonal communication, Attachment behavior",BF 576 .S43 2008
4600,Yellow : the history of a color / Michel Pastoureau ; translated by Jody Gladding.,"Yellow, Color -- Psychological aspects -- History, Color -- Social aspects -- History, Symbolism of colors -- History, Yellow in art",BF 789 .C7 P37513 2019
4601,Spellbound : from ancient gods to modern Merlins : a time tour of myth and magic / Dominic Alexander.,Magic -- History,BF 1589 .A54 2002
4602,Metaphysics and the mind-body problem / Michael E. Levin.,"Mind and body, Metaphysics",BF 161 .L44
4603,The fears of adolescents / J. H. Bamber.,"Adolescent psychology -- Case studies, Fear -- Case studies",BF 724.3 .F34 B35
4604,"Child psychology / Terry Faw, Gary S. Belkin.","Child psychology, Child development",BF 721 .F3823 1989
4605,Body movement : coping with the environment / by Irmgard Bartenieff with Dori Lewis.,"Movement, Psychology of, Motor ability, Dance therapy, Physical therapy, Movement, Psychology of -- Cross-cultural studies",BF 295 .B32 1980
4606,"The Course of later life : research and reflections / Vern L. Bengtson, K. Warner Schaie, editors.","Aging -- Psychological aspects, Older people -- Psychology, Cognition in old age",BF 724.8 .C68 1989
4607,Desarrollo cognitivo en niños y niñas que estudian y trabajan / Julio Dagnino.,"Cognition in children -- Peru, School children -- Peru -- Psychological testing, Education, Elementary -- Research -- Peru, Cognition -- Testing, Work -- Psychological aspects",BF 723 .C5 D33 2005
4608,The Individual subject and scientific psychology / edited by Jaan Valsiner.,"Single subject research, Psychology -- Research",BF 76.6 .S56 I53 1986
4609,"The Wechsler enterprise : an assessment of the development, structure, and use of the Wechsler tests of Intelligence / by George Frank.","Wechsler Adult Intelligence Scale, Wechsler Intelligence Scale for Children, Psychology, Pathological -- Diagnosis, Brain damage -- Diagnosis",BF 432.5 .W4 F7 1983
4610,Human spatial memory : remembering where / edited by Gary L. Allen.,"Space perception -- Congresses, Spatial behavior -- Congresses, Spatial ability -- Congresses",BF 469 .H86 2004
4611,The voice of experience / R.D. Laing.,"Experience, Emotions, Expression, Autonomy (Psychology), Psychiatry -- Methodology",BF 531 .L28
4612,Reading in high gear / by Mabel Vinson Cage.,"Reading, Psychology of, Books and reading",BF 456 .R2 C3
4613,"The psychic Mafia / by M. Lamar Keene, as told to Allen Spraggett, with a foreword by William V. Rauscher.","Keene, M. Lamar, Spiritualism -- Controversial literature",BF 1042 .K28
4614,Writer's block : the cognitive dimension / Mike Rose ; with a foreword by Marilyn S. Sternglass.,"Writer's block, Creative writing -- Psychological aspects, Creation (Literary, artistic, etc.)",BF 456 .W8 R67 1984
4615,Handbook of psi discoveries / by Sheila Ostrander and Lynn Schroeder.,"Parapsychology, Parapsychology -- Research",BF 1031 .O78 1974
4616,"Reading difficulty and personality organization, by Edith Gann, PH.D.","Reading, Psychology of, Personality",BF 456 .R2 G23
4617,"Deficiencies in reading ability their diagnosis and remedies, by Clarence Truman Gray.","Reading, Psychology of, Eye -- Movements",BF 456 .R2 G7
4618,Bodily communication / Michael Argyle.,Nonverbal communication,BF 637 .N66 A74 1975
4619,Psychology and the critical revolution / Anton G. Hardy.,Psychology -- Methodology,BF 38.5 .H37x 1988
4620,The rational infant : learning in infancy / T.G.R. Bower.,"Learning, Psychology of, Reasoning in infants",BF 318 .B68 1989
4621,"The emotions, outline of a theory; tr. from the French by Bernard Frechtman.",Emotions,BF 531 .S314
4622,The psychology of imagination.,Imagination,BF 408 .S2613 1968
4623,Piaget : critique and reassessment / David Cohen.,"Piaget, Jean, 1896-1980, Cognition in children, Moral development, Child psychology",BF 723 .C5 C637 1983
